iter	Logloss
0	0.5681483851
1	0.4726512139
2	0.4010717927
3	0.3507288639
4	0.312788315
5	0.2869585192
6	0.2660329665
7	0.2497798279
8	0.2372153113
9	0.2266493156
10	0.2184673094
11	0.2125822681
12	0.207463972
13	0.2036521654
14	0.2003431616
15	0.197715022
16	0.195677463
17	0.1932888015
18	0.1916153977
19	0.1897849598
20	0.1877084857
21	0.1863047303
22	0.1852332623
23	0.1839516309
24	0.1830365547
25	0.1818103844
26	0.180721269
27	0.1800797104
28	0.1790793772
29	0.1775857097
30	0.1767922635
31	0.1760728856
32	0.1757212405
33	0.1750291431
34	0.1745239157
35	0.1735323145
36	0.1728942314
37	0.172617945
38	0.1719401392
39	0.1715915368
40	0.1713095218
41	0.1710047584
42	0.170725192
43	0.1700482172
44	0.1693705249
45	0.1690258614
46	0.1686991674
47	0.1679884729
48	0.1676038202
49	0.16726158
50	0.1670086596
51	0.1667971117
52	0.1664262025
53	0.1661826125
54	0.1658161387
55	0.1654760842
56	0.1650007495
57	0.1646713524
58	0.1643002001
59	0.1640898044
60	0.1638276933
61	0.1636694412
62	0.1631586497
63	0.1630194514
64	0.1627794467
65	0.1625164121
66	0.1622990512
67	0.1621142021
68	0.1618696666
69	0.1616855987
70	0.1615226655
71	0.1613886531
72	0.1613192185
73	0.1611186606
74	0.160959995
75	0.1607173939
76	0.1604964111
77	0.1601742711
78	0.1599971753
79	0.1595962377
80	0.1593423926
81	0.1591685856
82	0.1590671418
83	0.1585538681
84	0.1584511152
85	0.1581521288
86	0.1580601734
87	0.1576458153
88	0.1575223571
89	0.1572611666
90	0.1570853041
91	0.1569608626
92	0.1568779469
93	0.1567866154
94	0.1565746829
95	0.1564358824
96	0.1562414841
97	0.1559567392
98	0.1555553435
99	0.1554058517
100	0.1552818267
101	0.1549533804
102	0.1547786114
103	0.1545201267
104	0.1544622856
105	0.154302596
106	0.1541480376
107	0.1540304955
108	0.1538736968
109	0.1536445611
110	0.1535037602
111	0.1533128104
112	0.1532323047
113	0.1531346029
114	0.1530111318
115	0.1528628263
116	0.1527506485
117	0.1525995122
118	0.1525121557
119	0.1523102714
120	0.1522001446
121	0.1520789284
122	0.1519402488
123	0.1518541675
124	0.1517766206
125	0.1516547327
126	0.1514427391
127	0.1512991804
128	0.1511474426
129	0.1510714989
130	0.1510305449
131	0.1509101897
132	0.1506448412
133	0.1505190845
134	0.1501751151
135	0.1500421882
136	0.1499350382
137	0.1498303974
138	0.1497145128
139	0.1494385375
140	0.1491898847
141	0.1490980253
142	0.1489772184
143	0.1488739726
144	0.1487703788
145	0.1485850567
146	0.1484948146
147	0.1484372909
148	0.1481647709
149	0.1480074432
150	0.1479732333
151	0.1478786631
152	0.1476863284
153	0.1475866288
154	0.147508189
155	0.1472334784
156	0.1471481311
157	0.146934951
158	0.1468378765
159	0.1467516334
160	0.1465222493
161	0.1464595409
162	0.1463143168
163	0.1462097886
164	0.1461773874
165	0.1461244977
166	0.1459955864
167	0.1458958801
168	0.1457889183
169	0.1456619358
170	0.1454426772
171	0.1454104152
172	0.1453915421
173	0.145294955
174	0.1452387435
175	0.1450981
176	0.1449926487
177	0.1448381444
178	0.1447310713
179	0.1445816005
180	0.1445200689
181	0.1444335143
182	0.1443311675
183	0.1442586426
184	0.144189034
185	0.144058166
186	0.1440023728
187	0.1438724057
188	0.1437999998
189	0.1437074658
190	0.1435332143
191	0.1434042727
192	0.1433283544
193	0.1432346127
194	0.1431400897
195	0.1429739786
196	0.142903395
197	0.1428445989
198	0.1424593978
199	0.1422752142
200	0.1422478157
201	0.1421693512
202	0.1420163846
203	0.1419345865
204	0.1417939566
205	0.1417726382
206	0.1416752697
207	0.141619184
208	0.1414449936
209	0.1413406457
210	0.1412475607
211	0.1411630261
212	0.1411111042
213	0.1410764705
214	0.14092479
215	0.1406798449
216	0.1405446702
217	0.1403819867
218	0.1402698624
219	0.1401989671
220	0.1400306896
221	0.139949398
222	0.1396491676
223	0.1395763664
224	0.139558121
225	0.139427611
226	0.1393998276
227	0.1393282594
228	0.1391856715
229	0.1390777814
230	0.1390302653
231	0.1389427723
232	0.1388444933
233	0.1386304022
234	0.1385549895
235	0.1384740971
236	0.1384184178
237	0.1383398969
238	0.1382249903
239	0.138111001
240	0.1380333041
241	0.1379753868
242	0.1378640387
243	0.1377461037
244	0.1376542256
245	0.1376051841
246	0.1375278846
247	0.1374267873
248	0.1373301854
249	0.1372658315
250	0.1372421935
251	0.1372262278
252	0.1371386472
253	0.1370444649
254	0.1369729216
255	0.1369563307
256	0.1368712378
257	0.1368297485
258	0.1367907621
259	0.1367268439
260	0.1366562692
261	0.1365710737
262	0.1365161468
263	0.136464407
264	0.1364438811
265	0.1363791573
266	0.1363106819
267	0.1362174824
268	0.136144722
269	0.1360654283
270	0.1360013862
271	0.1359078001
272	0.1357120248
273	0.135632414
274	0.1355327546
275	0.135438058
276	0.1353619776
277	0.1352782385
278	0.1352146379
279	0.1351192119
280	0.1350302209
281	0.1349016809
282	0.1348010089
283	0.1347232836
284	0.1346305719
