iter	Passed	Remaining
0	6	6153
1	12	6015
2	17	5965
3	23	5882
4	29	5843
5	35	5816
6	40	5802
7	46	5779
8	52	5740
9	57	5711
10	63	5698
11	68	5659
12	75	5703
13	80	5676
14	86	5653
15	91	5625
16	96	5596
17	102	5592
18	107	5573
19	114	5604
20	120	5605
21	126	5602
22	131	5593
23	136	5566
24	142	5551
25	147	5544
26	154	5558
27	159	5546
28	165	5538
29	173	5607
30	179	5623
31	185	5619
32	190	5589
33	196	5581
34	201	5561
35	207	5549
36	212	5536
37	218	5524
38	223	5504
39	228	5492
40	234	5484
41	239	5472
42	245	5462
43	251	5456
44	256	5453
45	262	5439
46	267	5431
47	273	5424
48	279	5423
49	284	5410
50	290	5396
51	295	5384
52	300	5373
53	306	5363
54	311	5355
55	317	5345
56	322	5334
57	328	5329
58	333	5320
59	339	5311
60	344	5302
61	349	5291
62	355	5292
63	362	5308
64	370	5332
65	378	5354
66	386	5380
67	393	5392
68	400	5401
69	406	5403
70	412	5392
71	417	5381
72	424	5388
73	432	5413
74	438	5407
75	444	5400
76	450	5397
77	456	5392
78	461	5383
79	468	5382
80	474	5379
81	479	5370
82	485	5358
83	490	5351
84	496	5340
85	501	5331
86	507	5321
87	512	5311
88	518	5302
89	523	5291
90	528	5282
91	534	5273
92	539	5264
93	544	5252
94	550	5246
95	556	5240
96	562	5238
97	568	5232
98	574	5226
99	579	5214
100	589	5246
101	599	5276
102	607	5290
103	613	5286
104	618	5276
105	624	5267
106	630	5259
107	635	5249
108	641	5242
109	646	5231
110	652	5222
111	657	5214
112	663	5211
113	669	5205
114	675	5200
115	681	5196
116	687	5191
117	693	5184
118	699	5175
119	704	5167
120	710	5159
121	715	5149
122	721	5141
123	726	5133
124	731	5123
125	737	5115
126	742	5107
127	748	5101
128	755	5103
129	763	5107
130	769	5107
131	777	5111
132	785	5121
133	793	5127
134	800	5129
135	808	5138
136	815	5135
137	822	5136
138	829	5137
139	836	5138
140	844	5143
141	851	5143
142	858	5145
143	865	5146
144	872	5146
145	879	5146
146	887	5148
147	893	5140
148	898	5132
149	904	5125
150	910	5118
151	916	5110
152	922	5107
153	928	5098
154	933	5091
155	939	5083
156	945	5078
157	951	5069
158	956	5060
159	962	5052
160	968	5046
161	973	5037
162	979	5030
163	985	5022
164	990	5012
165	996	5004
166	1001	4996
167	1007	4988
168	1012	4980
169	1018	4972
170	1024	4965
171	1029	4955
172	1034	4945
173	1040	4937
174	1045	4928
175	1050	4919
176	1056	4913
177	1062	4906
178	1068	4898
179	1073	4891
180	1079	4883
181	1084	4874
182	1090	4867
183	1095	4859
184	1101	4851
185	1106	4844
186	1112	4835
187	1118	4828
188	1123	4820
189	1128	4813
190	1134	4806
191	1140	4798
192	1145	4789
193	1150	4781
194	1157	4779
195	1164	4778
196	1170	4771
197	1176	4764
198	1183	4762
199	1189	4758
200	1195	4750
201	1200	4743
202	1206	4738
203	1212	4730
204	1218	4724
205	1223	4715
206	1228	4707
207	1234	4700
208	1240	4693
209	1245	4687
210	1251	4680
211	1257	4673
212	1262	4665
213	1268	4659
214	1274	4653
215	1280	4646
216	1286	4640
217	1291	4633
218	1297	4628
219	1303	4620
220	1308	4613
221	1314	4607
222	1320	4601
223	1325	4593
224	1331	4585
225	1339	4587
226	1347	4589
227	1356	4591
228	1364	4595
229	1375	4605
230	1385	4612
231	1392	4611
232	1400	4609
233	1407	4608
234	1414	4605
235	1421	4603
236	1428	4599
237	1436	4598
238	1445	4603
239	1457	4615
240	1463	4608
241	1469	4601
242	1475	4595
243	1480	4588
244	1486	4581
245	1492	4573
246	1497	4565
247	1503	4558
248	1508	4551
249	1514	4544
250	1520	4535
251	1525	4526
252	1530	4520
253	1536	4513
254	1542	4507
255	1548	4498
256	1553	4491
257	1559	4484
258	1564	4476
259	1569	4467
260	1575	4460
261	1580	4452
262	1585	4444
263	1591	4435
264	1596	4427
265	1601	4419
266	1607	4412
267	1612	4404
268	1618	4397
269	1623	4389
270	1628	4381
271	1634	4374
272	1640	4368
273	1645	4360
274	1651	4354
275	1658	4349
276	1663	4342
277	1669	4336
278	1674	4328
279	1680	4321
280	1685	4313
281	1691	4305
282	1696	4298
283	1701	4290
284	1707	4283
285	1712	4274
286	1717	4267
287	1723	4261
288	1729	4254
289	1734	4247
290	1740	4239
291	1744	4230
292	1750	4223
293	1755	4216
294	1761	4208
295	1766	4200
296	1771	4194
297	1777	4187
298	1783	4180
299	1789	4174
300	1794	4167
301	1799	4159
302	1805	4152
303	1810	4144
304	1815	4137
305	1821	4130
306	1826	4123
307	1831	4115
308	1837	4109
309	1843	4102
310	1848	4095
311	1853	4088
312	1859	4081
313	1866	4078
314	1872	4071
315	1877	4063
316	1883	4057
317	1888	4050
318	1894	4044
319	1899	4037
320	1905	4030
321	1911	4024
322	1918	4020
323	1924	4014
324	1929	4008
325	1935	4001
326	1940	3993
327	1946	3987
328	1951	3980
329	1957	3974
330	1963	3967
331	1968	3960
332	1973	3953
333	1978	3946
334	1984	3939
335	1990	3932
336	1995	3926
337	2000	3918
338	2006	3912
339	2012	3905
340	2018	3900
341	2023	3893
342	2030	3889
343	2037	3885
344	2043	3879
345	2048	3872
346	2054	3865
347	2059	3858
348	2064	3851
349	2070	3845
350	2075	3838
351	2081	3831
352	2087	3825
353	2092	3818
354	2098	3812
355	2103	3805
356	2108	3798
357	2114	3791
358	2119	3785
359	2125	3779
360	2131	3773
361	2138	3768
362	2145	3765
363	2151	3758
364	2157	3752
365	2162	3745
366	2167	3739
367	2173	3732
368	2179	3726
369	2185	3720
370	2190	3714
371	2195	3707
372	2201	3700
373	2206	3693
374	2212	3686
375	2217	3680
376	2223	3673
377	2228	3666
378	2234	3660
379	2239	3653
380	2245	3647
381	2251	3641
382	2257	3637
383	2263	3630
384	2268	3624
385	2274	3617
386	2280	3611
387	2285	3605
388	2291	3598
389	2296	3591
390	2301	3584
391	2307	3579
392	2313	3572
393	2318	3566
394	2323	3558
395	2329	3552
396	2334	3546
397	2340	3539
398	2345	3533
399	2351	3527
400	2357	3520
401	2362	3514
402	2368	3509
403	2374	3502
404	2379	3496
405	2385	3490
406	2391	3484
407	2396	3477
408	2402	3471
409	2407	3464
410	2412	3457
411	2418	3451
412	2423	3444
413	2429	3438
414	2434	3431
415	2439	3425
416	2445	3418
417	2450	3412
418	2456	3405
419	2461	3399
420	2466	3392
421	2472	3386
422	2477	3379
423	2482	3372
424	2488	3367
425	2494	3360
426	2499	3354
427	2505	3348
428	2510	3341
429	2517	3336
430	2522	3330
431	2528	3324
432	2533	3317
433	2538	3310
434	2544	3304
435	2549	3297
436	2554	3291
437	2560	3285
438	2565	3279
439	2571	3272
440	2576	3266
441	2581	3259
442	2587	3252
443	2592	3246
444	2598	3240
445	2603	3234
446	2609	3227
447	2614	3221
448	2619	3215
449	2625	3208
450	2630	3202
451	2636	3196
452	2641	3190
453	2647	3184
454	2653	3178
455	2659	3172
456	2664	3166
457	2670	3159
458	2675	3153
459	2681	3147
460	2686	3141
461	2692	3134
462	2697	3128
463	2702	3122
464	2707	3115
465	2713	3109
466	2719	3103
467	2724	3096
468	2730	3090
469	2735	3085
470	2741	3078
471	2746	3072
472	2752	3066
473	2757	3060
474	2763	3054
475	2768	3048
476	2774	3042
477	2780	3036
478	2785	3029
479	2790	3023
480	2796	3016
481	2801	3010
482	2806	3003
483	2811	2997
484	2817	2991
485	2822	2985
486	2827	2978
487	2833	2973
488	2840	2968
489	2848	2964
490	2855	2959
491	2862	2955
492	2870	2951
493	2877	2947
494	2884	2942
495	2892	2939
496	2900	2935
497	2909	2932
498	2917	2929
499	2926	2926
500	2933	2921
501	2939	2916
502	2945	2910
503	2950	2903
504	2957	2898
505	2965	2895
506	2973	2890
507	2980	2886
508	2988	2882
509	2996	2878
510	3005	2875
511	3012	2871
512	3019	2866
513	3025	2860
514	3030	2854
515	3037	2849
516	3044	2844
517	3054	2842
518	3064	2840
519	3077	2840
520	3094	2845
521	3102	2841
522	3109	2836
523	3116	2831
524	3126	2828
525	3135	2825
526	3144	2822
527	3151	2817
528	3157	2811
529	3162	2804
530	3168	2798
531	3174	2792
532	3179	2786
533	3185	2779
534	3190	2773
535	3196	2766
536	3201	2760
537	3207	2754
538	3212	2747
539	3218	2741
540	3223	2735
541	3229	2728
542	3234	2722
543	3240	2716
544	3246	2709
545	3251	2703
546	3256	2697
547	3261	2690
548	3267	2684
549	3272	2677
550	3277	2671
551	3283	2664
552	3289	2658
553	3295	2652
554	3300	2646
555	3306	2640
556	3311	2633
557	3317	2627
558	3322	2621
559	3328	2615
560	3333	2608
561	3339	2602
562	3344	2596
563	3350	2590
564	3355	2583
565	3362	2577
566	3367	2571
567	3373	2565
568	3378	2559
569	3383	2552
570	3389	2546
571	3394	2540
572	3400	2534
573	3405	2527
574	3411	2521
575	3417	2515
576	3422	2508
577	3427	2502
578	3432	2495
579	3438	2489
580	3443	2483
581	3449	2477
582	3454	2471
583	3460	2465
584	3466	2459
585	3471	2452
586	3477	2446
587	3483	2440
588	3488	2434
589	3494	2428
590	3501	2422
591	3506	2416
592	3512	2410
593	3518	2404
594	3523	2398
595	3529	2392
596	3534	2386
597	3540	2379
598	3545	2373
599	3551	2367
600	3557	2361
601	3562	2355
602	3568	2349
603	3573	2342
604	3579	2336
605	3584	2330
606	3590	2324
607	3595	2318
608	3600	2311
609	3606	2305
610	3611	2299
611	3617	2293
612	3622	2287
613	3628	2280
614	3633	2274
615	3639	2268
616	3644	2262
617	3651	2257
618	3656	2250
619	3662	2244
620	3668	2238
621	3673	2232
622	3679	2226
623	3685	2220
624	3691	2214
625	3696	2208
626	3702	2202
627	3707	2196
628	3713	2190
629	3718	2184
630	3724	2178
631	3730	2172
632	3735	2165
633	3741	2159
634	3747	2153
635	3752	2147
636	3757	2141
637	3763	2135
638	3768	2129
639	3774	2123
